Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
,,303397151,вело Summer time,velo-summer-time,https://myshop-buy636.myinsales.ru/collection/all/product/velo-summer-time,,"<br />Велосипедки New day с завышенной талией - абсолютный must have современного гардероба. Подходят не только для занятий спортом, но и для городских прогулок. Для формального выхода велосипедки сочетают с рубашками и объемными пиджаками, для прогулки - с кроп-топами или худи, для вечеринки - с кроссовками и бомбером. Куда в них отправиться - решать только вам. <br /><br />• Плетение рибана <br />• Высокая посадка <br />• Моделирование фигуры <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу)<br />• Выполнены из итальянской полиамидной нити на российском производстве. <br /><br />Состав: 93% полиамид, 7% эластан. <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 175 см, параметры - 89/61/90<br />Размер комплекта — S",выставлен,да,Бесшовные велосипедки с высокой посадкой New day orange,,,Каталог/Велосипедки ## Каталог/Все товары,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3736-3132-4339-b361-366265313863/IMG0870.jpg https://static.tildacdn.com/tild6463-3561-4163-a437-623131636662/IMG0869.jpg https://static.tildacdn.com/tild6333-3065-4561-a233-643434666262/IMG0876.jpg https://static.tildacdn.com/tild3133-3138-4662-a163-366366613263/IMG0855.jpg https://static.tildacdn.com/tild3366-3335-4163-b166-626131663937/__last_variant.png https://static.tildacdn.com/tild3361-3237-4634-b232-383936656563/8900.jpg https://static.tildacdn.com/tild3437-3565-4261-a466-356230643666/8886.jpg https://static.tildacdn.com/tild6534-6535-4833-b435-393437636138/8891.jpg https://static.tildacdn.com/tild6136-3335-4265-a139-633232623930/8879.jpg https://static.tildacdn.com/tild3331-6139-4131-b162-366339303635/8914.jpg https://static.tildacdn.com/tild3766-6133-4236-b239-313837323264/8874.jpg https://static.tildacdn.com/tild3565-6365-4637-b433-303865353134/1449584844.jpg https://static.tildacdn.com/tild3132-6530-4134-a130-613431326637/1449568682.jpg https://static.tildacdn.com/tild3166-3031-4539-a130-343436616263/1449565840.jpg https://static.tildacdn.com/tild3734-3465-4066-b032-643439626661/1449573224.jpg https://static.tildacdn.com/tild6432-6438-4361-b333-333763363635/1CB6EC46-041A-4482-9.jpeg https://static.tildacdn.com/tild3136-6533-4433-b630-646534376631/70E82F1F-CA6E-4F7A-A.jpeg https://static.tildacdn.com/tild6436-3437-4866-b635-356534393332/4FFAE867-54D5-4B19-9.jpeg https://static.tildacdn.com/tild3663-3131-4362-a132-343064656232/5F81559B-15A9-487D-9.jpeg https://static.tildacdn.com/tild6461-3636-4764-b831-383066366633/3EBC9B10-BFC4-4F8C-A.jpeg https://static.tildacdn.com/tild6462-3636-4836-b235-343331316463/58D68A7E-EACD-4E43-8.jpeg https://static.tildacdn.com/stor3664-3064-4665-b833-613437356534/43687114.jpg https://static.tildacdn.com/stor3535-3864-4336-a361-376239653866/75297305.jpg https://static.tildacdn.com/stor3532-3861-4031-a234-633739316435/74624713.jpg https://static.tildacdn.com/stor3537-6238-4563-b665-343435336633/23356610.jpg https://static.tildacdn.com/stor3939-3336-4838-a436-336131363866/36985121.jpg https://static.tildacdn.com/stor6363-3134-4236-b861-356535383634/49753364.jpg https://static.tildacdn.com/stor6636-3531-4535-b666-616437383164/95429884.jpg https://static.tildacdn.com/stor3932-3362-4161-b764-393638373966/83482947.jpg https://static.tildacdn.com/stor6465-3737-4833-b161-613265386139/35098757.jpg https://static.tildacdn.com/stor3131-3265-4434-a466-303661646436/28844646.jpg https://static.tildacdn.com/stor6635-3862-4538-b062-333139646662/63440858.jpg,"",S,желтый неон,,,524328786,DF-08.0001,,524328786,,3750,,,5,,,https://define.moscow/shorts/tproduct/360191627-761341687921-besshovnie-velosipedki-s-visokoi-posadko,https://define.moscow/shorts/tproduct/360191627-761341687921-besshovnie-velosipedki-s-visokoi-posadko,,
,,303397151,вело Summer time,velo-summer-time,https://myshop-buy636.myinsales.ru/collection/all/product/velo-summer-time,,"<br />Велосипедки New day с завышенной талией - абсолютный must have современного гардероба. Подходят не только для занятий спортом, но и для городских прогулок. Для формального выхода велосипедки сочетают с рубашками и объемными пиджаками, для прогулки - с кроп-топами или худи, для вечеринки - с кроссовками и бомбером. Куда в них отправиться - решать только вам. <br /><br />• Плетение рибана <br />• Высокая посадка <br />• Моделирование фигуры <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу)<br />• Выполнены из итальянской полиамидной нити на российском производстве. <br /><br />Состав: 93% полиамид, 7% эластан. <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 175 см, параметры - 89/61/90<br />Размер комплекта — S",выставлен,да,Бесшовные велосипедки с высокой посадкой New day orange,,,Каталог/Велосипедки ## Каталог/Все товары,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3736-3132-4339-b361-366265313863/IMG0870.jpg https://static.tildacdn.com/tild6463-3561-4163-a437-623131636662/IMG0869.jpg https://static.tildacdn.com/tild6333-3065-4561-a233-643434666262/IMG0876.jpg https://static.tildacdn.com/tild3133-3138-4662-a163-366366613263/IMG0855.jpg https://static.tildacdn.com/tild3366-3335-4163-b166-626131663937/__last_variant.png https://static.tildacdn.com/tild3361-3237-4634-b232-383936656563/8900.jpg https://static.tildacdn.com/tild3437-3565-4261-a466-356230643666/8886.jpg https://static.tildacdn.com/tild6534-6535-4833-b435-393437636138/8891.jpg https://static.tildacdn.com/tild6136-3335-4265-a139-633232623930/8879.jpg https://static.tildacdn.com/tild3331-6139-4131-b162-366339303635/8914.jpg https://static.tildacdn.com/tild3766-6133-4236-b239-313837323264/8874.jpg https://static.tildacdn.com/tild3565-6365-4637-b433-303865353134/1449584844.jpg https://static.tildacdn.com/tild3132-6530-4134-a130-613431326637/1449568682.jpg https://static.tildacdn.com/tild3166-3031-4539-a130-343436616263/1449565840.jpg https://static.tildacdn.com/tild3734-3465-4066-b032-643439626661/1449573224.jpg https://static.tildacdn.com/tild6432-6438-4361-b333-333763363635/1CB6EC46-041A-4482-9.jpeg https://static.tildacdn.com/tild3136-6533-4433-b630-646534376631/70E82F1F-CA6E-4F7A-A.jpeg https://static.tildacdn.com/tild6436-3437-4866-b635-356534393332/4FFAE867-54D5-4B19-9.jpeg https://static.tildacdn.com/tild3663-3131-4362-a132-343064656232/5F81559B-15A9-487D-9.jpeg https://static.tildacdn.com/tild6461-3636-4764-b831-383066366633/3EBC9B10-BFC4-4F8C-A.jpeg https://static.tildacdn.com/tild6462-3636-4836-b235-343331316463/58D68A7E-EACD-4E43-8.jpeg https://static.tildacdn.com/stor3664-3064-4665-b833-613437356534/43687114.jpg https://static.tildacdn.com/stor3535-3864-4336-a361-376239653866/75297305.jpg https://static.tildacdn.com/stor3532-3861-4031-a234-633739316435/74624713.jpg https://static.tildacdn.com/stor3537-6238-4563-b665-343435336633/23356610.jpg https://static.tildacdn.com/stor3939-3336-4838-a436-336131363866/36985121.jpg https://static.tildacdn.com/stor6363-3134-4236-b861-356535383634/49753364.jpg https://static.tildacdn.com/stor6636-3531-4535-b666-616437383164/95429884.jpg https://static.tildacdn.com/stor3932-3362-4161-b764-393638373966/83482947.jpg https://static.tildacdn.com/stor6465-3737-4833-b161-613265386139/35098757.jpg https://static.tildacdn.com/stor3131-3265-4434-a466-303661646436/28844646.jpg https://static.tildacdn.com/stor6635-3862-4538-b062-333139646662/63440858.jpg,"",M,желтый неон,,,524329029,DF-08.0001,,524329029,,3750,,,5,,,https://define.moscow/shorts/tproduct/360191627-761341687921-besshovnie-velosipedki-s-visokoi-posadko,https://define.moscow/shorts/tproduct/360191627-761341687921-besshovnie-velosipedki-s-visokoi-posadko,,
Мой склад,Леггинсы,354797551,Леггинсы Vera лаванда,legginsy-vera-lavanda,https://myshop-buy636.myinsales.ru/product/legginsy-vera-lavanda,,"<br /><br />Леггинсы Vera - из гипоаллергенной нити на все случаи жизни как спортивной так и повседневной. <br /><br />• Посадка с высокой талией <br />• Контурное плетение <br />• Технология DRY отводит пот с кожи обеспечивая Вам сухость и комфорт <br />• 90% нейлон, 10% эластан <br /><br />На фото: <br />Модель - рост 176 см, параметры 78-59-90 см <br />Размер леггинсов — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Леггинсы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3438-3930-4336-b961-323937616666/IMG_2151.JPG https://static.tildacdn.com/tild6566-3237-4531-b761-326364643463/IMG_2159.JPG https://static.tildacdn.com/tild3337-3233-4537-b936-636561333333/1886048327.jpg,,,,S,,600023874,DF-07.0011,,600023874,,3210,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-349608613381-legginsi-vera-lavanda,https://define.moscow/weekoffer/tproduct/392303695-349608613381-legginsi-vera-lavanda,iTTlULFAgmsBTuFPX66gn2,Last size
Мой склад,Бра,354797554,Топ Military голубой,top-military-goluboy,https://myshop-buy636.myinsales.ru/product/top-military-goluboy,,"<br />Топ Military. Интересная форма, детали и цвет. Декоративная сеточка на спине. Подходит для груди любого размера. Поддерживает, не доставляя неудобств. <br /><br />• Сетчатое плетение на спине<br />• Съемные чашечки<br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Антипиллинг Состав: 90% нейлон, 10% спандекс <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены.<br /><br />Модель на фото: <br />Рост 170 см, параметры - 84/59/87. <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild6533-6233-4233-a339-396461333236/1447750656.jpg https://static.tildacdn.com/tild3461-3966-4161-b437-353434623938/1447750717.jpg https://static.tildacdn.com/tild3533-3965-4630-b130-663665373762/1698866773.jpg https://static.tildacdn.com/tild6532-6533-4134-a131-306632306237/__last_variant.png,,,,S,,600023882,DF-01.0019,,600023882,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,8LCrkWcVimsSgSkINAMT-3,-60%
Мой склад,Бра,354797554,Топ Military голубой,top-military-goluboy,https://myshop-buy636.myinsales.ru/product/top-military-goluboy,,"<br />Топ Military. Интересная форма, детали и цвет. Декоративная сеточка на спине. Подходит для груди любого размера. Поддерживает, не доставляя неудобств. <br /><br />• Сетчатое плетение на спине<br />• Съемные чашечки<br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Антипиллинг Состав: 90% нейлон, 10% спандекс <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены.<br /><br />Модель на фото: <br />Рост 170 см, параметры - 84/59/87. <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild6533-6233-4233-a339-396461333236/1447750656.jpg https://static.tildacdn.com/tild3461-3966-4161-b437-353434623938/1447750717.jpg https://static.tildacdn.com/tild3533-3965-4630-b130-663665373762/1698866773.jpg https://static.tildacdn.com/tild6532-6533-4134-a131-306632306237/__last_variant.png,,,,M,,600023881,DF-01.0019,,600023881,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,8LCrkWcVimsSgSkINAMT-3,-60%
Мой склад,Бра,354797554,Топ Military голубой,top-military-goluboy,https://myshop-buy636.myinsales.ru/product/top-military-goluboy,,"<br />Топ Military. Интересная форма, детали и цвет. Декоративная сеточка на спине. Подходит для груди любого размера. Поддерживает, не доставляя неудобств. <br /><br />• Сетчатое плетение на спине<br />• Съемные чашечки<br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Антипиллинг Состав: 90% нейлон, 10% спандекс <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены.<br /><br />Модель на фото: <br />Рост 170 см, параметры - 84/59/87. <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild6533-6233-4233-a339-396461333236/1447750656.jpg https://static.tildacdn.com/tild3461-3966-4161-b437-353434623938/1447750717.jpg https://static.tildacdn.com/tild3533-3965-4630-b130-663665373762/1698866773.jpg https://static.tildacdn.com/tild6532-6533-4134-a131-306632306237/__last_variant.png,,,,L,,600023883,DF-01.0019,,600023883,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,https://define.moscow/weekoffer/tproduct/392303695-461185589071-top-military-goluboi,8LCrkWcVimsSgSkINAMT-3,-60%
Мой склад,Бра,354797556,Топ Vera черный,top-vera-chernyy,https://myshop-buy636.myinsales.ru/product/top-vera-chernyy,,"<br />Топ Vera - мягкий и нежный из гипоаллергенной нити на все случаи жизни как спортивной так и повседневной. <br /><br />• Съемные чашечки на груди <br />• Контурное плетение <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота) <br />• 90% нейлон, 10% эластан<br /><br />Рекомендации по уходу: <br />Допускается бережная машинная стирка при 30 градусах; <br />барабанная сушка, глажка и отбеливание запрещены <br /><br />На фото: <br />Модель - рост 176 см, параметры 78-59-90 см <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3131-6566-4662-b966-646535353232/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild3965-6439-4364-b361-313938626330/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild6435-3366-4662-b465-616439363131/__last_variant.png,,,,S,,600023886,DF-01.0011,,600023886,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,85L37-uqj5f-CIscFZKNL2,-25%
Мой склад,Бра,354797556,Топ Vera черный,top-vera-chernyy,https://myshop-buy636.myinsales.ru/product/top-vera-chernyy,,"<br />Топ Vera - мягкий и нежный из гипоаллергенной нити на все случаи жизни как спортивной так и повседневной. <br /><br />• Съемные чашечки на груди <br />• Контурное плетение <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота) <br />• 90% нейлон, 10% эластан<br /><br />Рекомендации по уходу: <br />Допускается бережная машинная стирка при 30 градусах; <br />барабанная сушка, глажка и отбеливание запрещены <br /><br />На фото: <br />Модель - рост 176 см, параметры 78-59-90 см <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3131-6566-4662-b966-646535353232/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild3965-6439-4364-b361-313938626330/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild6435-3366-4662-b465-616439363131/__last_variant.png,,,,M,,600023887,DF-01.0011,,600023887,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,85L37-uqj5f-CIscFZKNL2,-25%
Мой склад,Бра,354797556,Топ Vera черный,top-vera-chernyy,https://myshop-buy636.myinsales.ru/product/top-vera-chernyy,,"<br />Топ Vera - мягкий и нежный из гипоаллергенной нити на все случаи жизни как спортивной так и повседневной. <br /><br />• Съемные чашечки на груди <br />• Контурное плетение <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота) <br />• 90% нейлон, 10% эластан<br /><br />Рекомендации по уходу: <br />Допускается бережная машинная стирка при 30 градусах; <br />барабанная сушка, глажка и отбеливание запрещены <br /><br />На фото: <br />Модель - рост 176 см, параметры 78-59-90 см <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild3131-6566-4662-b966-646535353232/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild3965-6439-4364-b361-313938626330/22_02_2021_LAB16_237.jpg https://static.tildacdn.com/tild6435-3366-4662-b465-616439363131/__last_variant.png,,,,L,,600023885,DF-01.0011,,600023885,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,https://define.moscow/weekoffer/tproduct/392303695-337239853281-top-vera-chernii,85L37-uqj5f-CIscFZKNL2,-25%
Мой склад,Бра,354797557,Топ Military розовый,top-military-rozovyy,https://myshop-buy636.myinsales.ru/product/top-military-rozovyy,,"<br />Топ Military. Интересная форма, детали и цвет. Декоративная сеточка на спине. Подходит для груди любого размера. Поддерживает, не доставляя неудобств. <br /><br />• Сетчатое плетение на спине<br />• Съемные чашечки<br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу, не оставляя следов пота)<br />• Антипиллинг <br /><br />Состав: <br />90% нейлон, 10% спандекс <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 173 см, параметры - 79/70/95. <br />Размер комплекта — S",выставлен,да,,,,Каталог/Admin/SALE ## Каталог/Admin/Топы,,RUR,Без НДС,шт,,https://static.tildacdn.com/tild6232-3566-4766-a333-383361653161/1447747691.jpg https://static.tildacdn.com/tild3531-3736-4533-b766-376634303262/1447749544.jpg https://static.tildacdn.com/tild3734-6133-4636-b436-303963316166/1447747723.jpg https://static.tildacdn.com/tild3835-3265-4661-b831-386233363764/1447747738.jpg https://static.tildacdn.com/tild6337-3062-4161-b730-363962616235/__last_variant.png,,,,S,,600023890,DF-01.0020,,600023890,,2900,,,0,,,https://define.moscow/weekoffer/tproduct/392303695-263594433961-top-military-rozovii,https://define.moscow/weekoffer/tproduct/392303695-263594433961-top-military-rozovii,NNMSQ57mjHaFjTfNQtUkj2,-60%
