Корневая,Подкатегория 1,ID товара,Название товара или услуги,Название товара в URL,URL,Краткое описание,Полное описание,Видимость на витрине,Применять скидки,Тег title,Мета-тег keywords,Мета-тег description,Размещение на сайте,Весовой коэффициент,Валюта склада,НДС,Единица измерения,Габариты,Изображения,Ссылка на видео,Свойство: Размер,Свойство: Цвет,Свойство: размер,Свойство: цвет,ID варианта,Артикул,Штрих-код,Внешний ID,Габариты варианта,Цена продажи,Старая цена,Цена закупки,Остаток,Вес,Изображения варианта,Параметр: fid,Параметр: OLDLINK,Дополнительное поле: ID Мой Склад,Параметр: Метка
,,303397151,вело Summer time,velo-summer-time,https://myshop-buy636.myinsales.ru/collection/all/product/velo-summer-time,,"<br />Велосипедки New day с завышенной талией - абсолютный must have современного гардероба. Подходят не только для занятий спортом, но и для городских прогулок. Для формального выхода велосипедки сочетают с рубашками и объемными пиджаками, для прогулки - с кроп-топами или худи, для вечеринки - с кроссовками и бомбером. Куда в них отправиться - решать только вам. <br /><br />• Плетение рибана <br />• Высокая посадка <br />• Моделирование фигуры <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу)<br />• Выполнены из итальянской полиамидной нити на российском производстве. <br /><br />Состав: 93% полиамид, 7% эластан. <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 170 см, параметры - 84/59/87. <br />Размер комплекта — S",выставлен,да,Бесшовные велосипедки с высокой посадкой New day black,,,Каталог,,RUR,Без НДС,шт,,https://static.insales-cdn.com/images/products/1/966/551748550/4C74BC33-268A-43D2-942A-45859B1C49BD.jpeg https://static.insales-cdn.com/images/products/1/3280/551750864/B39462D5-0607-426E-8CA0-501DCC3A3D5A.jpeg https://static.insales-cdn.com/images/products/1/6738/658504274/1449584844.jpg https://static.insales-cdn.com/images/products/1/6743/658504279/1449568682.jpg https://static.insales-cdn.com/images/products/1/6750/658504286/1449565840.jpg https://static.insales-cdn.com/images/products/1/6761/658504297/1449573224.jpg https://static.insales-cdn.com/images/products/1/6775/658504311/__last_variant.png https://static.insales-cdn.com/images/products/1/6819/658504355/IMG0870.jpg https://static.insales-cdn.com/images/products/1/6849/658504385/IMG0869.jpg https://static.insales-cdn.com/images/products/1/6887/658504423/IMG0876.jpg https://static.insales-cdn.com/images/products/1/6942/658504478/IMG0855.jpg https://static.insales-cdn.com/images/products/1/6980/658504516/1CB6EC46-041A-4482-9.jpeg https://static.insales-cdn.com/images/products/1/7001/658504537/70E82F1F-CA6E-4F7A-A.jpeg https://static.insales-cdn.com/images/products/1/7018/658504554/4FFAE867-54D5-4B19-9.jpeg https://static.insales-cdn.com/images/products/1/7044/658504580/5F81559B-15A9-487D-9.jpeg https://static.insales-cdn.com/images/products/1/7069/658504605/3EBC9B10-BFC4-4F8C-A.jpeg https://static.insales-cdn.com/images/products/1/7094/658504630/58D68A7E-EACD-4E43-8.jpeg https://static.insales-cdn.com/images/products/1/7113/658504649/8900.jpg https://static.insales-cdn.com/images/products/1/7131/658504667/8886.jpg https://static.insales-cdn.com/images/products/1/7144/658504680/8891.jpg https://static.insales-cdn.com/images/products/1/7160/658504696/8879.jpg https://static.insales-cdn.com/images/products/1/7185/658504721/8914.jpg https://static.insales-cdn.com/images/products/1/7208/658504744/8874.jpg https://static.insales-cdn.com/images/products/1/7228/658504764/43687114.jpg https://static.insales-cdn.com/images/products/1/7255/658504791/75297305.jpg https://static.insales-cdn.com/images/products/1/7287/658504823/74624713.jpg https://static.insales-cdn.com/images/products/1/7309/658504845/23356610.jpg https://static.insales-cdn.com/images/products/1/7328/658504864/36985121.jpg https://static.insales-cdn.com/images/products/1/7351/658504887/49753364.jpg https://static.insales-cdn.com/images/products/1/7371/658504907/95429884.jpg https://static.insales-cdn.com/images/products/1/7389/658504925/83482947.jpg https://static.insales-cdn.com/images/products/1/7404/658504940/35098757.jpg https://static.insales-cdn.com/images/products/1/7414/658504950/28844646.jpg https://static.insales-cdn.com/images/products/1/7435/658504971/63440858.jpg,,S,желтый неон,,,524328786,DF-08.0001,,524328786,,3750,,,5,,,https://define.moscow/shorts/tproduct/360191627-571590834991-besshovnie-velosipedki-s-visokoi-posadko,https://define.moscow/shorts/tproduct/360191627-571590834991-besshovnie-velosipedki-s-visokoi-posadko,,
,,303397151,вело Summer time,velo-summer-time,https://myshop-buy636.myinsales.ru/collection/all/product/velo-summer-time,,"<br />Велосипедки New day с завышенной талией - абсолютный must have современного гардероба. Подходят не только для занятий спортом, но и для городских прогулок. Для формального выхода велосипедки сочетают с рубашками и объемными пиджаками, для прогулки - с кроп-топами или худи, для вечеринки - с кроссовками и бомбером. Куда в них отправиться - решать только вам. <br /><br />• Плетение рибана <br />• Высокая посадка <br />• Моделирование фигуры <br />• Технология COOL DRY (изделие быстро впитывает и испаряет влагу)<br />• Выполнены из итальянской полиамидной нити на российском производстве. <br /><br />Состав: 93% полиамид, 7% эластан. <br /><br />Рекомендации по уходу: <br />- машинная стирка при 30 градусах; <br />- барабанная сушка, глажка и отбеливание запрещены. <br /><br />Модель на фото: <br />Рост 170 см, параметры - 84/59/87. <br />Размер комплекта — S",выставлен,да,Бесшовные велосипедки с высокой посадкой New day black,,,Каталог,,RUR,Без НДС,шт,,https://static.insales-cdn.com/images/products/1/966/551748550/4C74BC33-268A-43D2-942A-45859B1C49BD.jpeg https://static.insales-cdn.com/images/products/1/3280/551750864/B39462D5-0607-426E-8CA0-501DCC3A3D5A.jpeg https://static.insales-cdn.com/images/products/1/6738/658504274/1449584844.jpg https://static.insales-cdn.com/images/products/1/6743/658504279/1449568682.jpg https://static.insales-cdn.com/images/products/1/6750/658504286/1449565840.jpg https://static.insales-cdn.com/images/products/1/6761/658504297/1449573224.jpg https://static.insales-cdn.com/images/products/1/6775/658504311/__last_variant.png https://static.insales-cdn.com/images/products/1/6819/658504355/IMG0870.jpg https://static.insales-cdn.com/images/products/1/6849/658504385/IMG0869.jpg https://static.insales-cdn.com/images/products/1/6887/658504423/IMG0876.jpg https://static.insales-cdn.com/images/products/1/6942/658504478/IMG0855.jpg https://static.insales-cdn.com/images/products/1/6980/658504516/1CB6EC46-041A-4482-9.jpeg https://static.insales-cdn.com/images/products/1/7001/658504537/70E82F1F-CA6E-4F7A-A.jpeg https://static.insales-cdn.com/images/products/1/7018/658504554/4FFAE867-54D5-4B19-9.jpeg https://static.insales-cdn.com/images/products/1/7044/658504580/5F81559B-15A9-487D-9.jpeg https://static.insales-cdn.com/images/products/1/7069/658504605/3EBC9B10-BFC4-4F8C-A.jpeg https://static.insales-cdn.com/images/products/1/7094/658504630/58D68A7E-EACD-4E43-8.jpeg https://static.insales-cdn.com/images/products/1/7113/658504649/8900.jpg https://static.insales-cdn.com/images/products/1/7131/658504667/8886.jpg https://static.insales-cdn.com/images/products/1/7144/658504680/8891.jpg https://static.insales-cdn.com/images/products/1/7160/658504696/8879.jpg https://static.insales-cdn.com/images/products/1/7185/658504721/8914.jpg https://static.insales-cdn.com/images/products/1/7208/658504744/8874.jpg https://static.insales-cdn.com/images/products/1/7228/658504764/43687114.jpg https://static.insales-cdn.com/images/products/1/7255/658504791/75297305.jpg https://static.insales-cdn.com/images/products/1/7287/658504823/74624713.jpg https://static.insales-cdn.com/images/products/1/7309/658504845/23356610.jpg https://static.insales-cdn.com/images/products/1/7328/658504864/36985121.jpg https://static.insales-cdn.com/images/products/1/7351/658504887/49753364.jpg https://static.insales-cdn.com/images/products/1/7371/658504907/95429884.jpg https://static.insales-cdn.com/images/products/1/7389/658504925/83482947.jpg https://static.insales-cdn.com/images/products/1/7404/658504940/35098757.jpg https://static.insales-cdn.com/images/products/1/7414/658504950/28844646.jpg https://static.insales-cdn.com/images/products/1/7435/658504971/63440858.jpg,,M,желтый неон,,,524329029,DF-08.0001,,524329029,,3750,,,5,,,https://define.moscow/shorts/tproduct/360191627-571590834991-besshovnie-velosipedki-s-visokoi-posadko,https://define.moscow/shorts/tproduct/360191627-571590834991-besshovnie-velosipedki-s-visokoi-posadko,,
Мой склад,Леггинсы,354797551,Леггинсы Vera лаванда,legginsy-vera-lavanda,https://myshop-buy636.myinsales.ru/product/legginsy-vera-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600023874,DF-07.0011,,600023874,,3210,,,0,,,,,iTTlULFAgmsBTuFPX66gn2,
Мой склад,Бра,354797552,Бра New Way Лаванда,bra-new-way-lavanda,https://myshop-buy636.myinsales.ru/product/bra-new-way-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600023875,DF-01.0032,,600023875,,3260,,,0,,,,,R5sGBRmgh2I1ZSH69Lgdw2,
Мой склад,Бра,354797552,Бра New Way Лаванда,bra-new-way-lavanda,https://myshop-buy636.myinsales.ru/product/bra-new-way-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600023876,DF-01.0032,,600023876,,3260,,,0,,,,,R5sGBRmgh2I1ZSH69Lgdw2,
Мой склад,Бра,354797552,Бра New Way Лаванда,bra-new-way-lavanda,https://myshop-buy636.myinsales.ru/product/bra-new-way-lavanda,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600023877,DF-01.0032,,600023877,,3260,,,0,,,,,R5sGBRmgh2I1ZSH69Lgdw2,
Мой склад,Леггинсы,354797553,Лосины New Way винные,losiny-new-way-vinnye,https://myshop-buy636.myinsales.ru/product/losiny-new-way-vinnye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600023880,DF-04.00021,,600023880,,4250,,,0,,,,,o6tdSZcxjjJrK4lcZKHXB2,
Мой склад,Леггинсы,354797553,Лосины New Way винные,losiny-new-way-vinnye,https://myshop-buy636.myinsales.ru/product/losiny-new-way-vinnye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,M,,600023879,DF-04.00021,,600023879,,4250,,,0,,,,,o6tdSZcxjjJrK4lcZKHXB2,
Мой склад,Леггинсы,354797553,Лосины New Way винные,losiny-new-way-vinnye,https://myshop-buy636.myinsales.ru/product/losiny-new-way-vinnye,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,L,,600023878,DF-04.00021,,600023878,,4250,,,0,,,,,o6tdSZcxjjJrK4lcZKHXB2,
Мой склад,Бра,354797554,Топ Military голубой,top-military-goluboy,https://myshop-buy636.myinsales.ru/product/top-military-goluboy,,,выставлен,да,,,,,,RUR,Без НДС,шт,,,,,,S,,600023882,DF-01.0019,,600023882,,2900,,,0,,,,,8LCrkWcVimsSgSkINAMT-3,
